Date,Cumulative Total Return (Net Dividends)
1951-10-31,37.6951
1951-11-01,38.6555
1951-11-02,37.6351
1951-11-05,36.9748
1951-11-07,34.994
1951-11-08,34.874
1951-11-09,36.5546
1951-11-13,36.7947
1951-11-14,37.1549
1951-11-15,37.0948
1951-11-16,36.9748
1951-11-19,36.4346
1951-11-20,36.1345
1951-11-21,35.8944
1951-11-23,34.4538
1951-11-26,34.6339
1951-11-27,36.0144
1951-11-28,35.7143
1951-11-29,36.0744
1951-11-30,37.3349
1951-12-03,38.1152
1951-12-04,38.8956
1951-12-05,38.4754
1951-12-06,40.096
1951-12-07,40.3361
1951-12-10,40.5762
1951-12-11,39.8559
1951-12-12,40.2761
1951-12-13,40.3962
1951-12-14,40.2761
1951-12-17,40.5162
1951-12-18,40.9964
1951-12-19,41.4766
1951-12-20,41.4766
1951-12-21,41.1164
1951-12-24,41.2965
1951-12-26,40.6963
1951-12-27,41.9568
1951-12-28,42.1969
1951-12-31,42.6771
1952-01-02,42.8571
1952-01-03,43.3373
1952-01-04,43.5774
1952-01-07,43.5174
1952-01-08,42.9772
1952-01-09,42.497
1952-01-10,43.2173
1952-01-11,43.9376
1952-01-14,45.018
1952-01-15,44.4178
1952-01-16,44.5978
1952-01-17,45.2581
1952-01-18,45.5582
1952-01-21,46.8187
1952-01-22,48.0192
1952-01-23,47.2989
1952-01-24,47.419
1952-01-25,47.3589
1952-01-28,47.7191
1952-01-29,47.479
1952-01-30,45.4382
1952-01-31,44.898
1952-02-01,45.8583
1952-02-04,44.7779
1952-02-05,44.7179
1952-02-06,45.1381
1952-02-07,44.7179
1952-02-08,45.4982
1952-02-11,44.7179
1952-02-13,43.5774
1952-02-14,43.2773
1952-02-15,43.2173
1952-02-18,42.497
1952-02-19,40.2161
1952-02-20,38.5954
1952-02-21,39.0156
1952-02-25,39.4358
1952-02-26,38.9556
1952-02-27,39.1357
1952-02-28,39.7959
1952-02-29,39.6158
1952-03-03,39.7959
1952-03-04,42.1369
1952-03-05,42.3169
1952-03-06,42.1969
1952-03-07,42.3769
1952-03-10,41.6567
1952-03-11,41.7767
1952-03-12,42.437
1952-03-13,42.557
1952-03-14,42.557
1952-03-17,43.5774
1952-03-18,43.2773
1952-03-19,42.9772
1952-03-20,43.3974
1952-03-21,43.6375
1952-03-24,43.6375
1952-03-25,42.7971
1952-03-26,42.7371
1952-03-27,43.9976
1952-03-28,45.1381
1952-03-31,46.2785
1952-04-01,45.1381
1952-04-02,44.7779
1952-04-03,44.7779
1952-04-04,44.1777
1952-04-07,42.8571
1952-04-08,43.5174
1952-04-09,43.6975
1952-04-10,44.7179
1952-04-14,43.7575
1952-04-15,41.9568
1952-04-16,41.5366
1952-04-17,40.5162
1952-04-18,41.0564
1952-04-21,42.1969
1952-04-22,41.5366
1952-04-23,40.9364
1952-04-24,40.6363
1952-04-25,41.2965
1952-04-28,41.3565
1952-04-29,40.9964
1952-04-30,39.976
1952-05-01,39.0756
1952-05-02,41.4166
1952-05-05,42.0168
1952-05-06,42.0768
1952-05-07,42.9172
1952-05-08,43.2173
